Akira Kurosawa
Alejandro Gonzalez
Alfonso Cuaran
Alfred Hitchcock
Andrey Tarkovskiy
Andrzej Wajda
Anthony Minghella
Bernardo Bertolucci
Billy Wilder
Blake Edwards
Brian De Palma
Buster Keaton
Carl Theodor Dreyer
Charles Chaplin
Christopher Nolan
Clint Eastwood
Costa-Gavras
D.W. Griffith
David Cronenberg
David Fincher
David Lean
David Lynch
Elia Kazan
Emir Kusturica
F.W. Murnau
Federico Fellini
FranÃ§ois Truffaut
Francis Ford Coppola
Frank Capra
Frank Darabont
Fred Zinnemann
Fritz Lang
Giuseppe Tornatore
Gus Van Sant
Hayao Miyazaki
Howard Hawks
Ingmar Bergman
James Cameron
Jean Renoir
Jean-Luc Godard
Jean-Pierre Dardenne
Jean-Pierre Jeunet
Jean-Pierre Melville
Jim Jarmusch
Jim Sheridan
Joel Coen
John Ford
John Huston
Kaige Chen
Kar Wai Wong
King Vidor
Krzysztof Kieslowski
Lars von Trier
Luis BuÃ±uel
Martin Scorsese
Mel Brooks
Mel Gibson
Michael Curtiz
Michael Haneke
Michael Mann
Michelangelo Antonioni
Mike Nichols
Milos Forman
Oliver Stone
Orson Welles
Paul Thomas Anderson
Pedro AlmodÃ³var
Peter Jackson
Preston Sturges
Quentin Tarantino
Rainer Werner Fassbinder
Richard Brooks
Ridley Scott
Robert Altman
Robert Bresson
Robert Rodriguez
Robert Rossen
Roman Polanski
Ron Howard
Sam Mendes
Sam Peckinpah
Sergio Leone
Sidney Lumet
Spike Jonze
Spike Lee
Stanley Kubrick
Steven Soderbergh
Steven Spielberg
Sydney Pollack
Takeshi Kitano
Terry Gilliam
Theodoros Angelopoulos
Tim Burton
Tom Tykwer
Vittorio De Sica
Werner Herzog
Wes Anderson
William Wyler
Woody Allen
Yimou Zhang
